title,desc,repo_name,repo_username,repo_url,repo_star
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",telegram-api,unreal4u,https://www.github.com/unreal4u,79000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",http-client,amphp,https://www.github.com/amphp,70000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",byte-stream,amphp,https://www.github.com/amphp,37000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",mysql,amphp,https://www.github.com/amphp,36000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",service-bus,php-service-bus,https://www.github.com/php-service-bus,34000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",parallel-functions,amphp,https://www.github.com/amphp,27000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",TelegramRSS,xtrime-ru,https://www.github.com/xtrime-ru,25000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",socket,amphp,https://www.github.com/amphp,23000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",process,amphp,https://www.github.com/amphp,23000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",sync,amphp,https://www.github.com/amphp,16000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",dns,amphp,https://www.github.com/amphp,16000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",redis,amphp,https://www.github.com/amphp,16000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",websocket-client,amphp,https://www.github.com/amphp,14000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",acme,kelunik,https://www.github.com/kelunik,12000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",serialization,amphp,https://www.github.com/amphp,11000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",websocket-server,amphp,https://www.github.com/amphp,11000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",cache,amphp,https://www.github.com/amphp,10000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",flutter,flutter,https://www.github.com/flutter,168000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",react-native,facebook,https://www.github.com/facebook,120000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",scrcpy,Genymobile,https://www.github.com/Genymobile,115000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",free-programming-books-zh_CN,justjavac,https://www.github.com/justjavac,112000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Awesome-Hacking,Hack-with-Github,https://www.github.com/Hack-with-Github,87300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",awesome-flutter,Solido,https://www.github.com/Solido,54200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tldr,tldr-pages,https://www.github.com/tldr-pages,52500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",awesome-android-ui,wasabeef,https://www.github.com/wasabeef,51100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",material-design-icons,google,https://www.github.com/google,50900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",joplin,laurent22,https://www.github.com/laurent22,46900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",appwrite,appwrite,https://www.github.com/appwrite,46300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",okhttp,square,https://www.github.com/square,46000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",architecture-samples,android,https://www.github.com/android,44600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",retrofit,square,https://www.github.com/square,43200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",jadx,skylot,https://www.github.com/skylot,42400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",uni-app,dcloudio,https://www.github.com/dcloudio,40300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",fastlane,fastlane,https://www.github.com/fastlane,39800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",termux-app,termux,https://www.github.com/termux,37800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",MPAndroidChart,PhilJay,https://www.github.com/PhilJay,37700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",v2rayNG,2dust,https://www.github.com/2dust,37400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",free-programming-books-zh_CN,justjavac,https://www.github.com/justjavac,112000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",angular,angular,https://www.github.com/angular,96600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",storybook,storybookjs,https://www.github.com/storybookjs,85000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",33-js-concepts,leonardomso,https://www.github.com/leonardomso,64300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ionic-framework,ionic-team,https://www.github.com/ionic-team,51300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",prettier,prettier,https://www.github.com/prettier,49700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",30-Days-Of-JavaScript,Asabeneh,https://www.github.com/Asabeneh,43700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",sheetjs,SheetJS,https://www.github.com/SheetJS,35300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",angular-cli,angular,https://www.github.com/angular,26800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",wails,wailsapp,https://www.github.com/wailsapp,26200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",javascript-interview-questions,sudheerj,https://www.github.com/sudheerj,24600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",components,angular,https://www.github.com/angular,24500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",NativeScript,NativeScript,https://www.github.com/NativeScript,24400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",javascript-testing-best-practices,goldbergyoni,https://www.github.com/goldbergyoni,24200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",nx,nrwl,https://www.github.com/nrwl,24100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",paperless-ngx,paperless-ngx,https://www.github.com/paperless-ngx,23500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",rxdb,pubkey,https://www.github.com/pubkey,21800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",generator-jhipster,jhipster,https://www.github.com/jhipster,21700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",bit,teambit,https://www.github.com/teambit,18000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",sweetalert2,sweetalert2,https://www.github.com/sweetalert2,17500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",devops-exercises,bregman-arie,https://www.github.com/bregman-arie,67200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ansible,ansible,https://www.github.com/ansible,63600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",algo,trailofbits,https://www.github.com/trailofbits,29100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",90DaysOfDevOps,MichaelCade,https://www.github.com/MichaelCade,27500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",streisand,StreisandEffect,https://www.github.com/StreisandEffect,23200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",kubespray,kubernetes-sigs,https://www.github.com/kubernetes-sigs,16400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",awx,ansible,https://www.github.com/ansible,14200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",semaphore,semaphoreui,https://www.github.com/semaphoreui,11000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",kubeasz,easzlab,https://www.github.com/easzlab,10600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",netboot.xyz,netbootxyz,https://www.github.com/netbootxyz,9600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ansible-for-devops,geerlingguy,https://www.github.com/geerlingguy,8600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",homelab,khuedoan,https://www.github.com/khuedoan,8300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",DevOps-Guide,Tikam02,https://www.github.com/Tikam02,8300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",mac-dev-playbook,geerlingguy,https://www.github.com/geerlingguy,6100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",GOAD,Orange-Cyberdefense,https://www.github.com/Orange-Cyberdefense,5700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",rundeck,rundeck,https://www.github.com/rundeck,5600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",KubeOperator,KubeOperator,https://www.github.com/KubeOperator,5000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",boilerplates,ChristianLempa,https://www.github.com/ChristianLempa,4900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",DetectionLab,clong,https://www.github.com/clong,4700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ansible-collection-hardening,dev-sec,https://www.github.com/dev-sec,4200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",public-apis,public-apis,https://www.github.com/public-apis,323000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",neovim,neovim,https://www.github.com/neovim,84900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",fastapi,fastapi,https://www.github.com/fastapi,79200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",hoppscotch,hoppscotch,https://www.github.com/hoppscotch,66300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",strapi,strapi,https://www.github.com/strapi,64500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",imgui,ocornut,https://www.github.com/ocornut,62200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",quivr,QuivrHQ,https://www.github.com/QuivrHQ,37000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",slate,slatedocs,https://www.github.com/slatedocs,36100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",trpc,trpc,https://www.github.com/trpc,35400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",insomnia,Kong,https://www.github.com/Kong,35300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",cli,httpie,https://www.github.com/httpie,34300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ccxt,ccxt,https://www.github.com/ccxt,33900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",graphql-engine,hasura,https://www.github.com/hasura,31300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",NeteaseCloudMusicApi,Binaryify,https://www.github.com/Binaryify,30300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",django-rest-framework,encode,https://www.github.com/encode,28600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",directus,directus,https://www.github.com/directus,28600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",LocalAI,mudler,https://www.github.com/mudler,27500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",yapi,YMFE,https://www.github.com/YMFE,27500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ItChat,littlecodersh,https://www.github.com/littlecodersh,25700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",postgrest,PostgREST,https://www.github.com/PostgREST,24200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Tasmota,arendst,https://www.github.com/arendst,22500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Marlin,MarlinFirmware,https://www.github.com/MarlinFirmware,16400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tinygo,tinygo-org,https://www.github.com/tinygo-org,15600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Arduino,arduino,https://www.github.com/arduino,14200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",arduino-esp32,espressif,https://www.github.com/espressif,14000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",esp8266_deauther,SpacehuhnTech,https://www.github.com/SpacehuhnTech,13700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",johnny-five,rwaldron,https://www.github.com/rwaldron,13300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",lowlevelprogramming-university,gurugio,https://www.github.com/gurugio,10500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",gobot,hybridgroup,https://www.github.com/hybridgroup,9000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",platformio-core,platformio,https://www.github.com/platformio,8000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ArduinoJson,bblanchon,https://www.github.com/bblanchon,6800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",WiFiManager,tzapu,https://www.github.com/tzapu,6700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ESP32Marauder,justcallmekoko,https://www.github.com/justcallmekoko,6500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",u8g2,olikraus,https://www.github.com/olikraus,5300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Serial-Studio,Serial-Studio,https://www.github.com/Serial-Studio,4900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",deej,omriharel,https://www.github.com/omriharel,4900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",OpenMower,ClemensElflein,https://www.github.com/ClemensElflein,4700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Arduino-IRremote,Arduino-IRremote,https://www.github.com/Arduino-IRremote,4600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",arduino-cli,arduino,https://www.github.com/arduino,4400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",cylon,hybridgroup,https://www.github.com/hybridgroup,4200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",server,bitwarden,https://www.github.com/bitwarden,16000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",abp,abpframework,https://www.github.com/abpframework,13100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",AspNetCore.Docs,dotnet,https://www.github.com/dotnet,12700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",aspnetboilerplate,aspnetboilerplate,https://www.github.com/aspnetboilerplate,11900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",nopCommerce,nopSolutions,https://www.github.com/nopSolutions,9400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Electron.NET,ElectronNET,https://www.github.com/ElectronNET,7400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",clean-code-dotnet,thangchung,https://www.github.com/thangchung,7300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",NSwag,RicoSuter,https://www.github.com/RicoSuter,6900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",FastEndpoints,FastEndpoints,https://www.github.com/FastEndpoints,4800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",aspnet-api-versioning,dotnet,https://www.github.com/dotnet,3100
